picture;target;target_color;expected;display_size;condition
images/card_005.png;T;green;positive;1;conjunction
images/card_006.png;T;green;positive;1;conjunction
images/card_013.png;T;green;positive;5;conjunction
images/card_014.png;T;green;positive;5;conjunction
images/card_021.png;T;green;positive;15;conjunction
images/card_022.png;T;green;positive;15;conjunction
images/card_029.png;T;green;positive;30;conjunction
images/card_030.png;T;green;positive;30;conjunction
images/card_069.png;-;-;negative;1;conjunction
images/card_070.png;-;-;negative;1;conjunction
images/card_077.png;-;-;negative;5;conjunction
images/card_078.png;-;-;negative;5;conjunction
images/card_085.png;-;-;negative;15;conjunction
images/card_086.png;-;-;negative;15;conjunction
images/card_093.png;-;-;negative;30;conjunction
images/card_094.png;-;-;negative;30;conjunction
images/card_007.png;T;green;positive;1;conjunction
images/card_008.png;T;green;positive;1;conjunction
images/card_015.png;T;green;positive;5;conjunction
images/card_016.png;T;green;positive;5;conjunction
images/card_023.png;T;green;positive;15;conjunction
images/card_024.png;T;green;positive;15;conjunction
images/card_031.png;T;green;positive;30;conjunction
images/card_032.png;T;green;positive;30;conjunction
images/card_071.png;-;-;negative;1;conjunction
images/card_072.png;-;-;negative;1;conjunction
images/card_079.png;-;-;negative;5;conjunction
images/card_080.png;-;-;negative;5;conjunction
images/card_087.png;-;-;negative;15;conjunction
images/card_088.png;-;-;negative;15;conjunction
images/card_095.png;-;-;negative;30;conjunction
images/card_096.png;-;-;negative;30;conjunction
